InstAddress		Total_Execution	Total_Cycles	Instruction
900068b6		1                   	13                  	JSR   R31, JMP, 0x00004bbc
900068bc		1                   	211                 	LD    --R0, R16
900068be		1                   	211                 	LD    --R1, R6
900068c0		1                   	203                 	ADD   R6, R5
900068c2		1                   	4                   	ADD   R31, R5, 0x00030000
900068c8		1                   	3                   	COMP  R10, R2
900068ca		1                   	4                   	JMP   R31, JE, 0x00005e8e
900068d0		1                   	4                   	ADD   R30, R5, 0x108
900068d4		1                   	10                  	LD    R5, R6
900068d6		1                   	5                   	AND   R31, R6, 0xffff7fff
900068dc		1                   	8                   	ST    R5, R6
90007198		1                   	9                   	ST    R0++, R16
9000719a		1                   	9                   	ST    R0++, R17
9000719c		1                   	3                   	MOV   R1, R17
9000719e		1                   	45                  	ADD   R30, R1, 0x2c
900071a2		1                   	3                   	MOVC  -1, R11
900071a4		1                   	9                   	STX   R1, R11, 0xffd8
900071a8		1                   	3                   	MOV   R19, R11
900071aa		1                   	4                   	ADD   R31, R11, 0x00008550
900071b0		1                   	9                   	STX   R1, R11, 0xffe4
900071b4		1                   	211                 	LDX   R1, R11, 0xffe4
900071b8		1                   	210                 	LD    R11, R11
900071ba		1                   	9                   	STX   R1, R11, 0xffdc
900071be		1                   	3                   	MOVC  6, R11
900071c0		1                   	209                 	STX   R1, R11, 0xffe0
900071c4		1                   	211                 	LDX   R1, R2, 0xffd8
900071c8		1                   	211                 	LDX   R1, R3, 0xffdc
900071cc		1                   	211                 	LDX   R1, R4, 0xffe0
900071d0		1                   	12                  	JSR   R31, JMP, 0x00005bf2
900072b6		322                 	3098                	ST    R0++, R16
900072b8		322                 	2898                	ST    R0++, R17
900072ba		322                 	966                 	MOV   R1, R17
900072bc		322                 	1288                	ADD   R30, R1, 0x1c
900072c0		322                 	3098                	ST    R0++, R21
900072c2		322                 	2898                	ST    R0++, R22
900072c4		322                 	2898                	STX   R17, R2, 0x0
900072c8		322                 	2898                	STX   R17, R3, 0xfffc
900072cc		322                 	966                 	MOVC  -1, R22
900072ce		322                 	966                 	MOV   R19, R11
900072d0		322                 	1288                	ADD   R31, R11, 0x00008c48
900072d6		322                 	67620               	LD    R11, R2
900072d8		322                 	3864                	JSR   R31, JMP, 0x00004a74
900072de		322                 	966                 	MOV   R19, R11
900072e0		322                 	1488                	ADD   R31, R11, 0x00008560
900072e6		322                 	67620               	LD    R11, R21
900072e8		322                 	1288                	ADDX  R21, R21, 0x1
900072ec		322                 	966                 	COMPC 4, R21
900072ee		322                 	3416                	JMP   R31, JNE, 0x000068ae
900072f4		64                  	13504               	LDX   R17, R22, 0xfffc
900072f8		64                  	704                 	JMP   R31, JMP, 0x000068be
900072fe		258                 	774                 	MOV   R19, R11
90007300		258                 	1232                	ADD   R31, R11, 0x00008560
90007306		258                 	54180               	LD    R11, R10
90007308		258                 	1032                	ADDX  R10, R10, 0x1
9000730c		258                 	2064                	ST    R11, R10
9000730e		322                 	966                 	MOV   R19, R11
90007310		322                 	1288                	ADD   R31, R11, 0x00008c48
90007316		322                 	67620               	LD    R11, R2
90007318		322                 	3864                	JSR   R31, JMP, 0x00004aa2
9000731e		322                 	4064                	JMP   R31, JMP, 0x00006914
90007324		4989412             	14968236            	COMPC -1, R22
90007326		4989412             	59872496            	JMP   R31, JE, 0x0000690c
9000732c		64                  	192                 	MOV   R19, R11
9000732e		64                  	320                 	ADD   R31, R11, 0x00008c48
90007334		64                  	13440               	LD    R11, R2
90007336		64                  	832                 	JSR   R31, JMP, 0x00004a74
9000733c		64                  	192                 	MOV   R19, R11
9000733e		64                  	320                 	ADD   R31, R11, 0x00008560
90007344		64                  	13440               	LD    R11, R10
90007346		64                  	256                 	ADDX  R10, R10, 0x1
9000734a		64                  	512                 	ST    R11, R10
9000734c		64                  	192                 	MOV   R19, R11
9000734e		64                  	320                 	ADD   R31, R11, 0x00008c48
90007354		64                  	13440               	LD    R11, R2
90007356		64                  	832                 	JSR   R31, JMP, 0x00004aa2
9000735c		4989412             	14968436            	MOVC  1, R2
9000735e		4989412             	64862356            	JSR   R31, JMP, 0x000006e6
90007364		4989734             	14969402            	MOV   R19, R11
90007366		4989734             	24948670            	ADD   R31, R11, 0x00008560
9000736c		4989734             	1047844140          	LD    R11, R11
9000736e		4989734             	14969202            	COMPC 4, R11
90007370		4989734             	54884820            	JMP   R31, JL, 0x000068d4
90007376		322                 	966                 	COMPC -1, R22
90007378		322                 	3094                	JMP   R31, JE, 0x0000695a
9000737e		64                  	192                 	MOV   R19, R11
90007380		64                  	256                 	ADD   R31, R11, 0x00008c48
90007386		64                  	13440               	LD    R11, R2
90007388		64                  	768                 	JSR   R31, JMP, 0x00004a74
9000738e		64                  	192                 	MOV   R19, R11
90007390		64                  	256                 	ADD   R31, R11, 0x00008560
90007396		64                  	192                 	MOVC  0, R10
90007398		64                  	512                 	ST    R11, R10
9000739a		64                  	192                 	MOV   R19, R11
9000739c		64                  	320                 	ADD   R31, R11, 0x00008c48
900073a2		64                  	13440               	LD    R11, R2
900073a4		64                  	832                 	JSR   R31, JMP, 0x00004aa2
900073aa		322                 	67965               	LD    --R0, R22
900073ac		322                 	67942               	LD    --R0, R21
900073ae		322                 	966                 	MOV   R17, R1
900073b0		322                 	67942               	LD    --R0, R17
900073b2		322                 	67942               	LD    --R0, R16
900073b4		322                 	3542                	JMP   R16, JMP
9000745a		160                 	1440                	ST    R0++, R20
9000745c		160                 	1440                	ST    R0++, R21
9000745e		160                 	1440                	ST    R0++, R22
90007460		160                 	480                 	MOV   R2, R20
90007462		160                 	1440                	MUL   R30, R20, 0x20
90007466		160                 	480                 	COMPC 0, R3
90007468		160                 	1088                	JMP   R31, JNE, 0x00006a68
9000746e		96                  	288                 	MOVC  0, R21
90007470		3072                	9216                	MOVC  0, R22
90007472		393216              	1179648             	MOV   R22, R11
90007474		393216              	3145728             	MULC  4, R11
90007476		393216              	1572864             	ADDX  R28, R10, 0x400
9000747a		393216              	1179648             	MOV   R21, R9
9000747c		393216              	3538944             	MUL   R30, R9, 0x200
90007480		393216              	1179648             	ADD   R9, R10
90007482		393216              	1179648             	ADD   R11, R10
90007484		393216              	1179648             	MOV   R19, R9
90007486		393216              	1966080             	ADD   R31, R9, 0x00018c50
9000748c		393216              	1179648             	MOV   R20, R8
9000748e		393216              	1179648             	ADD   R21, R8
90007490		393216              	3538944             	MUL   R30, R8, 0x200
90007494		393216              	1179648             	ADD   R8, R9
90007496		393216              	1179648             	ADD   R11, R9
90007498		393216              	82575360            	LD    R9, R11
9000749a		393216              	3145728             	ST    R10, R11
9000749c		393216              	1572864             	ADDX  R22, R22, 0x1
900074a0		393216              	1572864             	COMP  R30, R22, 0x80
900074a4		393216              	4697088             	JMP   R31, JL, 0x00006a22
900074aa		3072                	12288               	ADDX  R21, R21, 0x1
900074ae		3072                	12288               	COMP  R30, R21, 0x20
900074b2		3072                	33120               	JMP   R31, JL, 0x00006a20
900074b8		160                 	480                 	COMPC 1, R3
900074ba		160                 	1312                	JMP   R31, JNE, 0x00006aba
900074c0		64                  	192                 	MOVC  0, R21
900074c2		2048                	6144                	MOVC  0, R22
900074c4		262144              	786432              	MOV   R22, R11
900074c6		262144              	2097152             	MULC  4, R11
900074c8		262144              	786432              	MOV   R19, R10
900074ca		262144              	1048576             	ADD   R31, R10, 0x00018c50
900074d0		262144              	786432              	MOV   R20, R9
900074d2		262144              	786432              	ADD   R21, R9
900074d4		262144              	2359296             	MUL   R30, R9, 0x200
900074d8		262144              	786432              	ADD   R9, R10
900074da		262144              	786432              	ADD   R11, R10
900074dc		262144              	1048576             	ADDX  R28, R9, 0x400
900074e0		262144              	786432              	MOV   R21, R8
900074e2		262144              	2359296             	MUL   R30, R8, 0x200
900074e6		262144              	786432              	ADD   R8, R9
900074e8		262144              	786432              	ADD   R11, R9
900074ea		262144              	2621440             	LD    R9, R11
900074ec		262144              	2097152             	ST    R10, R11
900074ee		262144              	1048576             	ADDX  R22, R22, 0x1
900074f2		262144              	1048576             	COMP  R30, R22, 0x80
900074f6		262144              	3131392             	JMP   R31, JL, 0x00006a74
900074fc		2048                	8192                	ADDX  R21, R21, 0x1
90007500		2048                	8192                	COMP  R30, R21, 0x20
90007504		2048                	24128               	JMP   R31, JL, 0x00006a72
